company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,data_quality_flags,ticker,filing_date
Cadent LLC,co_e7f6eaf0136f,First Lien,,11.7%,,SOFR,6.5%,,,11339,11204,11080,0.9%,11204,,,,BBDC,2023-05-04
CAi Software LLC,co_756360b8afb1,First Lien,Software & Technology,11.4%,,SOFR,6.25%,,,1374,1349,1330,0.1%,1349,,,,BBDC,2023-05-04
CAi Software LLC,co_756360b8afb1,First Lien,Software & Technology,11.4%,,SOFR,6.25%,,,4997,4911,4837,0.4%,4911,,,,BBDC,2023-05-04
CAi Software LLC,co_756360b8afb1,Revolver,Software & Technology,11.4%,,SOFR,6.25%,,,0,-15,-30,0%,-15,,,,BBDC,2023-05-04
Canadian Orthodontic Partners Corp.,co_be943ee99ae1,First Lien,,3.5%,8.5%,SOFR,7%,,,1561,1732,1403,0.1%,1732,,,,BBDC,2023-05-04
Canadian Orthodontic Partners Corp.,co_be943ee99ae1,Other Equity,,,,,,,,,389,0,0%,389,,,,BBDC,2023-05-04
Canadian Orthodontic Partners Corp.,co_be943ee99ae1,Warrants,,,,,,,,,0,0,0%,0,,,,BBDC,2023-05-04
Caribou Holding Company LLC,co_306f5acfb5c0,First Lien,,12.5%,,SOFR,7.64%,,,4318,4264,4274,0.4%,4264,,,,BBDC,2023-05-04
Caribou Holding Company LLC,co_306f5acfb5c0,Other Equity,,,,,,,,,682,655,0.1%,682,,,,BBDC,2023-05-04
Carlson Travel Inc.,co_e383b1ccd1eb,Common Equity,Healthcare,8.5%,,,,,,,4194,1838,0.2%,4194,,,,BBDC,2023-05-04
Carlson Travel Inc.,co_e383b1ccd1eb,First Lien,Healthcare,,,,,,,6050,5738,4719,0.4%,5738,,,,BBDC,2023-05-04
Carlson Travel Inc.,co_e383b1ccd1eb,Preferred Equity,Healthcare,,15%,,,,,,955,914,0.1%,955,,,,BBDC,2023-05-04
CATAWBA RIVER LIMITED Finance Companies,co_96fe795f47d7,First Lien,Financial Services,,,,,,,5374,4883,4275,0.4%,4883,,,,BBDC,2023-05-04
Centralis Finco S.a.r.l. Diversified Financial Services,co_8e2e7adb1ca6,First Lien,Financial Services,7.8%,,SOFR,5.25%,,,1782,1649,1717,0.1%,1649,,,,BBDC,2023-05-04
Centralis Finco S.a.r.l. Diversified Financial Services,co_8e2e7adb1ca6,First Lien,Financial Services,7.9%,,SOFR,5.75%,,,440,400,430,0%,400,,,,BBDC,2023-05-04
Ceres Pharma NV Pharma-ceuticals,co_3e5fafc3593d,First Lien,Healthcare,7.1%,,SOFR,5.5%,,,3364,3268,3274,0.3%,3268,,,,BBDC,2023-05-04
CGI Parent LLC,co_2495d407ce54,First Lien,,9.5%,,SOFR,4.75%,,,10270,10098,9988,0.8%,10098,,,,BBDC,2023-05-04
CGI Parent LLC,co_2495d407ce54,First Lien,,9.7%,,SOFR,4.75%,,,1382,1342,1344,0.1%,1342,,,,BBDC,2023-05-04
CGI Parent LLC,co_2495d407ce54,Revolver,,9.5%,,SOFR,4.75%,,,0,-28,-45,0%,-28,,,,BBDC,2023-05-04
CGI Parent LLC,co_2495d407ce54,Preferred Equity,,,,,,,,,551,1030,0.1%,551,,,,BBDC,2023-05-04
Cineworld Group PLC,co_b3f651d69bb0,Warrants,,,,,,,,,102,0,0%,102,,,,BBDC,2023-05-04
Classic Collision (Summit Buyer LLC) Auto Collision Repair Centers,co_132a4cd48dc9,First Lien,Automotive,10.7%,,SOFR,5.75%,,,6264,6188,6203,0.5%,6188,,,,BBDC,2023-05-04
Classic Collision (Summit Buyer LLC) Auto Collision Repair Centers,co_132a4cd48dc9,First Lien,Automotive,10.7%,,SOFR,5.75%,,,529,521,523,0%,521,,,,BBDC,2023-05-04
CM Acquisitions Holdings Inc.,co_ea3aa0fdf37a,First Lien,,9.8%,,SOFR,5%,,,18862,18727,18220,1.5%,18727,,,,BBDC,2023-05-04
CMT Opco Holding LLC,co_4700947efdd9,First Lien,,9.8%,,SOFR,5%,,,4103,4070,3951,0.3%,4070,,,,BBDC,2023-05-04
CMT Opco Holding LLC,co_4700947efdd9,Other Equity,,,,,,,,,352,104,0%,352,,,,BBDC,2023-05-04
Coastal Marina Holdings LLC,co_23bceee50348,Subordinated Debt,,,10%,,,,,6617,6217,6194,0.5%,6217,,,,BBDC,2023-05-04
Coastal Marina Holdings LLC,co_23bceee50348,Subordinated Debt,,8%,,,,,,16620,15530,15558,1.3%,15530,,,,BBDC,2023-05-04
Coastal Marina Holdings LLC,co_23bceee50348,Other Equity,,,,,,,,,9093,10718,0.9%,9093,,,,BBDC,2023-05-04
Cobham Slip Rings SAS Diversified Manufacturing Diversified Manufacturing,co_2da413327903,First Lien,Industrials,11.4%,,SOFR,6.25%,,,1303,1278,1285,0.1%,1278,,,,BBDC,2023-05-04
Command Alkon (Project Potter Buyer LLC) Software,co_29e3052ec28d,First Lien,Software & Technology,12.6%,,SOFR,7.75%,,,13569,13295,13346,1.1%,13295,,,,BBDC,2023-05-04
Command Alkon (Project Potter Buyer LLC) Software,co_29e3052ec28d,Other Equity,Software & Technology,,,,,,,,0,208,0%,0,,,,BBDC,2023-05-04
Compass Precision LLC,co_e76d85b3e088,Subordinated Debt,,11%,1%,,,,,379,373,371,0%,373,,,,BBDC,2023-05-04
Compass Precision LLC,co_e76d85b3e088,Other Equity,,,,,,,,,125,164,0%,125,,,,BBDC,2023-05-04
Comply365 LLC,co_23ed5b95ccb0,First Lien,,10.6%,,SOFR,5.75%,,,13620,13383,13434,1.1%,13383,,,,BBDC,2023-05-04
Comply365 LLC,co_23ed5b95ccb0,Revolver,,10.6%,,SOFR,5.75%,,,0,-19,-15,0%,-19,,,,BBDC,2023-05-04
Contabo Finco S.À R.L Internet Software & Services,co_97273b0a42a4,First Lien,Software & Technology,8.5%,,SOFR,6%,,,5059,4527,4951,0.4%,4527,,,,BBDC,2023-05-04
Core Scientific Inc.,co_3a1f25366961,First Lien,,13%,,,,,,29647,29619,15031,1.2%,29619,,,,BBDC,2023-05-04
Core Scientific Inc.,co_3a1f25366961,Common Equity,,,,,,,,,296,28,0%,296,,,,BBDC,2023-05-04
Coyo Uprising GmbH Technology,co_2f3ea5471d95,First Lien,Software & Technology,9.3%,3.5%,SOFR,6.5%,,,4524,4714,4457,0.4%,4714,,,,BBDC,2023-05-04
Coyo Uprising GmbH Technology,co_2f3ea5471d95,Other Equity,Software & Technology,,,,,,,,205,202,0%,205,,,,BBDC,2023-05-04
Coyo Uprising GmbH Technology,co_2f3ea5471d95,Other Equity,Software & Technology,,,,,,,,446,514,0%,446,,,,BBDC,2023-05-04
CSL DualCom Tele-communications,co_e62549da048f,First Lien,Telecommunications,9.7%,,SOFR,5.5%,,,1990,1907,1980,0.2%,1907,,,,BBDC,2023-05-04
CT Technologies Intermediate Holdings Inc.,co_2b80ff50816e,First Lien,Media & Entertainment,9.1%,,SOFR,4.25%,,,4925,4917,4676,0.4%,4917,,,,BBDC,2023-05-04
Custom Alloy Corp.,co_528039dc7af2,Revolver,,,15%,,,,,5320,4222,80,0%,4222,,,fair_value_suspicious_vs_size,BBDC,2023-05-04
Custom Alloy Corp.,co_528039dc7af2,Second Lien,,,15%,,,,,56259,42162,844,0.1%,42162,,,fair_value_suspicious_vs_size,BBDC,2023-05-04
CVL 3 Capital Equipment,co_c01a0d1955a4,First Lien,Industrials,8.3%,,SOFR,5.5%,,,923,939,909,0.1%,939,,,,BBDC,2023-05-04
CVL 3 Capital Equipment,co_c01a0d1955a4,First Lien,Industrials,10.5%,,SOFR,5.5%,,,1142,1118,1124,0.1%,1118,,,,BBDC,2023-05-04
CW Group Holdings LLC,co_3e05c62cf0d8,First Lien,,10.9%,,SOFR,6%,,,2782,2739,2765,0.2%,2739,,,,BBDC,2023-05-04
CW Group Holdings LLC,co_3e05c62cf0d8,Other Equity,,,,,,,,,161,243,0%,161,,,,BBDC,2023-05-04
DataOnline Corp.,co_96e45312ab2a,First Lien,,10.9%,,SOFR,6.25%,,,14513,14513,14222,1.2%,14513,,,,BBDC,2023-05-04
DataOnline Corp.,co_96e45312ab2a,Revolver,,10.9%,,SOFR,6.25%,,,2143,2143,2100,0.2%,2143,,,,BBDC,2023-05-04
DataServ Integrations LLC,co_f5b1836632f2,First Lien,,10.8%,,SOFR,6%,,,1913,1873,1876,0.2%,1873,,,,BBDC,2023-05-04
DataServ Integrations LLC,co_f5b1836632f2,Revolver,,10.8%,,SOFR,6%,,,,-10,-9,0%,-10,,,,BBDC,2023-05-04
DataServ Integrations LLC,co_f5b1836632f2,Other Equity,,,,,,,,,96,100,0%,96,,,,BBDC,2023-05-04
DecksDirect LLC,co_cf4c237f871e,First Lien,,10.9%,,SOFR,6%,,,682,671,674,0.1%,671,,,,BBDC,2023-05-04
DecksDirect LLC,co_cf4c237f871e,Revolver,,10.9%,,SOFR,6%,,,0,-3,-3,0%,-3,,,,BBDC,2023-05-04
DecksDirect LLC,co_cf4c237f871e,Common Equity,,,,,,,,,55,51,0%,55,,,,BBDC,2023-05-04
DISA Holdings Corp.,co_e34260185d29,First Lien,,10.2%,,SOFR,5.5%,,,5691,5491,5507,0.5%,5491,,,,BBDC,2023-05-04
DISA Holdings Corp.,co_e34260185d29,Revolver,,10.2%,,SOFR,5.5%,,,0,-12,-11,0%,-12,,,,BBDC,2023-05-04
Distinct Holdings Inc.,co_ae35540c353a,First Lien,,11.3%,,SOFR,6.5%,,,6906,6891,6609,0.5%,6891,,,,BBDC,2023-05-04
Dragon Bidco Technology,co_e5a724c1108d,First Lien,Software & Technology,9.4%,,SOFR,6.5%,,,2607,2830,2565,0.2%,2830,,,,BBDC,2023-05-04
Dragon Bidco Technology,co_e5a724c1108d,First Lien,Software & Technology,9.7%,,SOFR,6.75%,,,1195,1171,1176,0.1%,1171,,,,BBDC,2023-05-04
DreamStart Bidco SAS (d/b/a SmartTrade) Diversified Financial Services,co_d7b19fa222c2,First Lien,Financial Services,8.3%,,SOFR,6%,,,2310,2317,2310,0.2%,2317,,,,BBDC,2023-05-04
