company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Axonify Inc.,Other Equity,Business Services,,,,,,2021-05-05,,,3780,3837,0.3%,3780,,,,3780000,,TSLX,2023-08-03
bswift LLC,Other Equity,Business Services,,,,,,2022-11-07,,,2394,2394,0.2%,2394,,,,2393509,,TSLX,2023-08-03
ClearCompany,Preferred Equity,Business Services,,,,,,,,,2014,4985,0.3%,2014,,,,1429228,,TSLX,2023-08-03
DaySmart Holdings LLC,Other Equity,Business Services,,,,,,2019-10-01,,,1347,1953,0.1%,1347,,,,166811,,TSLX,2023-08-03
Employment Hero Holdings Pty Ltd.,Other Equity,Business Services,,,,,,2022-03-01,,,2134,3480,0.2%,2134,,,,113250,,TSLX,2023-08-03
Human Resource Support Services,Other,Business Services,,,,,,,,,11669,15485,1.1%,11669,,,,,,TSLX,2023-08-03
Bayshore Intermediate #2,Common Equity,Software & Technology,,,,,,,,,12331,11375,0.8%,12331,,,,12330709,,TSLX,2023-08-03
Lucidworks Inc.,Other Equity,Software & Technology,,,,,,2019-08-02,,,800,800,0.1%,800,,,,199054,,TSLX,2023-08-03
Piano Software Inc.,Other Equity,Software & Technology,,,,,,2021-12-22,,,3000,3000,0.2%,3000,,,,418527,,TSLX,2023-08-03
Piano Software Inc.,Other Equity,Software & Technology,,,,,,2022-11-18,,,198,198,0%,198,,,,27588,,TSLX,2023-08-03
SMA Technologies Holdings LLC,Other Equity,Software & Technology,,,,,,2022-11-21,,,1300,1300,0.1%,1300,,,,1300,,TSLX,2023-08-03
Internet Services,Other,Software & Technology,,,,,,,,,17629,16673,1.2%,17629,,,,,,TSLX,2023-08-03
Marketing Services Validity Inc.,Other Equity,Business Services,,,,,,2018-05-31,,,3840,10944,0.7%,3840,,,,3840000,,TSLX,2023-08-03
Oil Gas and Consumable Fuels Murchison Oil and Gas LLC,Preferred Equity,Energy,,,,,,,,,13355,13856,0.9%,13355,,,,13355,,TSLX,2023-08-03
Oil Gas and Consumable Fuels TRP Assets LLC,Other Equity,Energy,,,,,,2022-08-25,,,8094,10501,0.7%,8094,,,,,,TSLX,2023-08-03
Oil Gas and Consumable Fuels,Other,Energy,,,,,,,,,21449,24357,1.6%,21449,,,,,,TSLX,2023-08-03
TherapeuticsMD Inc.,Warrants,Healthcare,,,,,,,,,1029,,0%,1029,,,,14256,,TSLX,2023-08-03
Retail and Consumer Products Copper Bidco LLC,Other Equity,Consumer & Retail,,,,,,,,,2735,10468,0.7%,2735,,,,996958,,TSLX,2023-08-03
Neuintel LLC,Other Equity,Consumer & Retail,,,,,,2021-12-21,,,3000,2738,0.2%,3000,,,,1176494,,TSLX,2023-08-03
Retail and Consumer Products,Other,Consumer & Retail,,,,,,,,,5735,13527,0.9%,5735,,,,,,TSLX,2023-08-03
Structured Credit Allegro CLO Ltd.,Other Equity,,8.11%,,,,,,,,959,900,0.1%,959,,,,,,TSLX,2023-08-03
Structured Credit American Money Management Corp.,Other Equity,Business Services,8.47%,,,,,,,,1353,1351,0.1%,1353,,,,,,TSLX,2023-08-03
Structured Credit Ares CLO Ltd.,Other Equity,,11.51%,,,,,,,,896,890,0.1%,896,,,,,,TSLX,2023-08-03
Structured Credit Ares Loan Funding I Ltd.,Other Equity,,11.96%,,,,,,,,931,915,0.1%,931,,,,,,TSLX,2023-08-03
Structured Credit Bain Capital Credit CLO Ltd.,Other Equity,,10.62%,,,,,,,,426,398,0%,426,,,,,,TSLX,2023-08-03
Structured Credit Battalion CLO Ltd.,Other Equity,,8.56%,,,,,,,,1162,1145,0.1%,1162,,,,,,TSLX,2023-08-03
Structured Credit Benefit Street Partners CLO Ltd.,Other Equity,,9.1%,,,,,,,,2187,2328,0.2%,2187,,,,,,TSLX,2023-08-03
Structured Credit Benefit Street Partners CLO Ltd.,Other Equity,,8%,,,,,,,,1277,1275,0.1%,1277,,,,,,TSLX,2023-08-03
Structured Credit Carlyle Global Market Strategies CLO Ltd.,Other Equity,,8.16%,,,,,,,,904,865,0.1%,904,,,,,,TSLX,2023-08-03
Structured Credit Carlyle Global Market Strategies CLO Ltd.,Other Equity,,11.85%,,,,,,,,1424,1407,0.1%,1424,,,,,,TSLX,2023-08-03
Structured Credit Carlyle Global Market Strategies CLO Ltd.,Other Equity,,11%,,,,,,,,1255,1265,0.1%,1255,,,,,,TSLX,2023-08-03
Structured Credit CarVal CLO III Ltd.,Other Equity,,11.69%,,,,,,,,900,910,0.1%,900,,,,,,TSLX,2023-08-03
Structured Credit Cedar Funding CLO Ltd.,Other Equity,,9.8%,,,,,,,,869,868,0.1%,869,,,,,,TSLX,2023-08-03
Structured Credit CIFC CLO Ltd.,Other Equity,,10.76%,,,,,,,,900,881,0.1%,900,,,,,,TSLX,2023-08-03
Structured Credit CIFC CLO Ltd.,Other Equity,,11.26%,,,,,,,,890,924,0.1%,890,,,,,,TSLX,2023-08-03
Structured Credit Crown Point CLO Ltd.,Other Equity,,12.1%,,,,,,,,902,903,0.1%,902,,,,,,TSLX,2023-08-03
Structured Credit Dryden Senior Loan Fund,Other Equity,,8.11%,,,,,,,,916,886,0.1%,916,,,,,,TSLX,2023-08-03
Structured Credit Dryden Senior Loan Fund,Other Equity,,11.76%,,,,,,,,1439,1316,0.1%,1439,,,,,,TSLX,2023-08-03
Structured Credit Eaton CLO Ltd.,Other Equity,,7.75%,,,,,,,,2245,2188,0.1%,2245,,,,,,TSLX,2023-08-03
Structured Credit Eaton CLO Ltd.,Other Equity,,11.51%,,,,,,,,934,921,0.1%,934,,,,,,TSLX,2023-08-03
Structured Credit GoldenTree CLO Ltd.,Other Equity,,11.75%,,,,,,,,920,947,0.1%,920,,,,,,TSLX,2023-08-03
Structured Credit Gulf Stream Meridian,Other Equity,,11.61%,,,,,,,,934,908,0.1%,934,,,,,,TSLX,2023-08-03
