company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Jab Wireless Inc.,First Lien,Telecommunications,8.00%,,LIBOR,800,2023-05-02,,19750,19750,,,,,,CION,2020-11-16
Jackson Hewitt Tax Service Inc.,First Lien,Business Services,6.25%,,LIBOR,625,2023-05-30,,17550,17550,,,,,,CION,2020-11-16
Jenny C Acquisition Inc.,First Lien,Business Services,8.50%,,LIBOR,850,2024-10-01,,9773,9863,,,,,,CION,2020-11-16
JP Intermediate B LLC,First Lien,Food & Beverage,5.50%,,LIBOR,550,2025-11-20,,16041,16365,,,,,,CION,2020-11-16
KLO Intermediate Holdings LLC,First Lien,Chemicals,7.75%,,LIBOR,775,2022-04-07,,7023,7283,,,,,,CION,2020-11-16
KLO Intermediate Holdings LLC,First Lien,Chemicals,7.75%,,LIBOR,775,2022-04-07,,4268,4311,,,,,,CION,2020-11-16
KNB Holdings Corp.,First Lien,Consumer Products,5.50%,,LIBOR,550,2024-04-26,,8228,8348,,,,,,CION,2020-11-16
Labvantage Solutions Inc.,First Lien,Software,7.50%,,LIBOR,750,2020-12-29,,3647,3660,,,,,,CION,2020-11-16
Labvantage Solutions Ltd.,First Lien,Software,7.50%,,Euribor,750,2020-12-29,,4149,3705,,,,,,CION,2020-11-16
LAV Gear Holdings Inc.,First Lien,Business Services,5.50%,,LIBOR,550,2024-10-31,,20288,20578,,,,,,CION,2020-11-16
LAV Gear Holdings Inc.,First Lien,Business Services,5.50%,,LIBOR,550,2024-10-31,,4237,4297,,,,,,CION,2020-11-16
LD Intermediate Holdings Inc.,First Lien,Software,5.88%,,LIBOR,588,2022-12-09,,4489,4759,,,,,,CION,2020-11-16
Lift Brands Inc.,First Lien,Business Services,7.00%,,LIBOR,700,2023-04-16,,1350,1350,,,,,,CION,2020-11-16
Lift Brands Inc.,Unfunded Commitment,Business Services,1.00%,,N/A,,,2023-04-16,3650,,,,,,,CION,2020-11-16
Lift Brands Inc.,First Lien,Business Services,7.00%,,LIBOR,700,2023-04-16,,43600,44325,,,,,,CION,2020-11-16
Longview Power LLC,First Lien,Oil & Gas,6.00%,,LIBOR,600,2021-04-13,,16180,17791,,,,,,CION,2020-11-16
Manna Pro Products LLC,First Lien,Retail,6.00%,,LIBOR,600,2023-12-08,,9448,9448,,,,,,CION,2020-11-16
Manna Pro Products LLC,Unfunded Commitment,Retail,1.00%,,N/A,,,2019-12-08,5528,,,,,,,CION,2020-11-16
Academy Ltd.,First Lien,Retail,8.00%,,LIBOR,400,2022-07-01,2022-07-01,14280,14280,14280,,,,,CION,2020-11-16
ACProducts Inc.,First Lien,Construction & Engineering,10.50%,,LIBOR,550,2024-02-15,2024-02-15,4938,4713,4713,,,,,CION,2020-11-16
Adams Publishing Group LLC,First Lien,Media & Entertainment,10.50%,,LIBOR,750,2023-07-02,2023-07-02,14043,13923,13923,,,,,CION,2020-11-16
Adams Publishing Group LLC,Unfunded Commitment,Media & Entertainment,,,,,2020-07-02,,,,,,,,,CION,2020-11-16
Adapt Laser Acquisition Inc.,First Lien,Other,10.50%,,LIBOR,800,2023-12-31,2023-12-31,11820,11820,11820,,,,,CION,2020-11-16
Adapt Laser Acquisition Inc.,Unfunded Commitment,Other,,,,,2023-12-31,,,,,,,,,CION,2020-11-16
Aegis Toxicology Sciences Corp.,First Lien,Pharmaceuticals & Biotechnology,10.50%,,LIBOR,550,2025-05-09,2025-05-09,9900,9724,9724,,,,,CION,2020-11-16
AIS Holdco LLC,First Lien,Financial Services,10.00%,,LIBOR,500,2025-08-15,2025-08-15,5417,5355,5355,,,,,CION,2020-11-16
Alchemy US Holdco 1 LLC,First Lien,Construction & Engineering,10.50%,,LIBOR,550,2025-10-10,2025-10-10,7850,7744,7744,,,,,CION,2020-11-16
Allen Media Broadcasting LLC,First Lien,Media & Entertainment,10.25%,,LIBOR,625,2024-07-03,2024-07-03,24844,24223,24223,,,,,CION,2020-11-16
Allen Media LLC,First Lien,Media & Entertainment,10.50%,,LIBOR,650,2023-08-30,2023-08-30,74030,72513,72513,,,,,CION,2020-11-16
ALM Media LLC,First Lien,Media & Entertainment,9.50%,,LIBOR,450,2020-07-31,2020-07-31,12965,12527,12527,,,,,CION,2020-11-16
American Clinical Solutions LLC,Other Debt,Pharmaceuticals & Biotechnology,12.50%,,N/A,,,2020-06-11,,9339,8968,8968,,,,CION,2020-11-16
American Media LLC,Unfunded Commitment,Media & Entertainment,,,,,2023-12-31,,,,,,,,,CION,2020-11-16
American Media LLC,First Lien,Media & Entertainment,10.50%,,LIBOR,750,2023-12-31,2023-12-31,18875,18463,18463,,,,,CION,2020-11-16
American Teleconferencing Services Ltd.,First Lien,Telecommunications,10.50%,,LIBOR,650,2021-12-08,2021-12-08,19566,18527,18527,,,,,CION,2020-11-16
Analogic Corp.,First Lien,Pharmaceuticals & Biotechnology,10.00%,,LIBOR,600,2024-06-21,2024-06-21,29700,29200,29200,,,,,CION,2020-11-16
Anthem Sports & Entertainment Inc.,Unfunded Commitment,Media & Entertainment,,,,,2024-09-09,,,,,,,,,CION,2020-11-16
Anthem Sports & Entertainment Inc.,First Lien,Media & Entertainment,10.50%,,LIBOR,950,2024-09-09,2024-09-09,16693,16489,16489,,,,,CION,2020-11-16
AP Exhaust Acquisition LLC,First Lien,Automotive,10.00%,,LIBOR,500,2024-05-10,2024-05-10,10451,9934,9934,,,,,CION,2020-11-16
APCO Holdings LLC,First Lien,Financial Services,10.00%,,LIBOR,550,2025-06-09,2025-06-09,10977,10882,10882,,,,,CION,2020-11-16
Ascent Resources - Marcellus LLC,First Lien,Oil & Gas,10.50%,,LIBOR,650,2023-03-30,2023-03-30,712,712,712,,,,,CION,2020-11-16
Associated Asphalt Partners LLC,First Lien,Construction & Engineering,10.00%,,LIBOR,525,2024-04-05,2024-04-05,10770,10623,10623,,,,,CION,2020-11-16
Avison Young (USA) Inc.,First Lien,Financial Services,10.00%,,LIBOR,500,2026-01-31,2026-01-31,9925,9739,9739,,,,,CION,2020-11-16
Bi-Lo LLC,First Lien,Retail,10.80%,,LIBOR,800,2024-05-31,2024-05-31,12930,12582,12582,,,,,CION,2020-11-16
Cadence Aerospace LLC,First Lien,Aerospace & Defense,10.50%,,LIBOR,650,2023-11-14,2023-11-14,25763,25563,25563,,,,,CION,2020-11-16
Homer City Generation LP.,First Lien,Oil & Gas,,,LIBOR,1100,2023-04-05,2023-04-05,14407,13916,13916,,,,,CION,2020-11-16
HUMC Holdco LLC,First Lien,Pharmaceuticals & Biotechnology,9.00%,,N/A,,,2020-11-16,10000,9978,9978,,,,,CION,2020-11-16
Hummel Station LLC,First Lien,Oil & Gas,,,LIBOR,600,2022-10-27,2022-10-27,9456,9234,9234,,,,,CION,2020-11-16
Hyperion Materials & Technologies Inc.,First Lien,Chemicals,,,LIBOR,550,2026-08-28,2026-08-28,9925,9748,9748,,,,,CION,2020-11-16
Independent Pet Partners Intermediate Holdings LLC,First Lien,Retail,,,LIBOR,900,2023-11-19,2023-11-19,12522,12376,12376,,,,,CION,2020-11-16
Independent Pet Partners Intermediate Holdings LLC,Unfunded Commitment,Retail,,,N/A,,2023-11-19,2023-11-19,7363,,,,,,,CION,2020-11-16
Independent Pet Partners Intermediate Holdings LLC,First Lien,Retail,,,LIBOR,225,2022-12-22,2022-12-22,2222,2222,2222,,,,,CION,2020-11-16
Infinity Sales Group LLC,First Lien,Business Services,,,LIBOR,1050,2022-11-23,2022-11-23,6820,6725,6725,,,,,CION,2020-11-16
InfoGroup Inc.,First Lien,Media & Entertainment,,,LIBOR,500,2023-04-03,2023-04-03,15635,15625,15625,,,,,CION,2020-11-16
Instant Web LLC,First Lien,Media & Entertainment,,,LIBOR,650,2022-12-15,2022-12-15,37531,37472,37472,,,,,CION,2020-11-16
Instant Web LLC,Unfunded Commitment,Media & Entertainment,,,N/A,,2022-12-15,2022-12-15,2704,,,,,,,CION,2020-11-16
Isagenix International LLC,First Lien,Food & Beverage,,,LIBOR,575,2025-06-14,2025-06-14,13244,13146,13146,,,,,CION,2020-11-16
Island Medical Management Holdings LLC,First Lien,Pharmaceuticals & Biotechnology,,,LIBOR,650,2022-09-01,2022-09-01,11222,11156,11156,,,,,CION,2020-11-16
Jab Wireless Inc.,First Lien,Telecommunications,,,LIBOR,800,2023-05-02,2023-05-02,13457,13457,13457,,,,,CION,2020-11-16
Jenny C Acquisition Inc.,First Lien,Business Services,,,LIBOR,1250,2024-10-01,2024-10-01,10584,10510,10510,,,,,CION,2020-11-16
