company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Chase Industries Inc.,Delayed Draw,Construction & Engineering,6.82%,,N/A,4.00%,,2025-05-12,199,182,169,,,,,BCSF,2019-08-07
Chase Industries Inc.,First Lien,Construction & Engineering,6.61%,,N/A,4.00%,,2025-05-11,11921,11863,11826,,,,,BCSF,2019-08-07
Crown Subsea,First Lien,Construction & Engineering,8.35%,,N/A,6.00%,,2025-11-02,13400,13201,12931,,,,,BCSF,2019-08-07
PP Ultimate Holdings B LLC,Partnership Interest,Other,,,,,,,,1,1352,1352,,,,BCSF,2019-08-07
Profile Products LLC,Revolver,Other,,,,,2024-12-20,,,,,,,,,BCSF,2019-08-07
Regan Development Holdings Ltd.,First Lien,Construction & Engineering,7.50%,,Euribor,7.00%,,2022-04-18,2557,2785,2928,,,,,BCSF,2019-08-07
Regan Development Holdings Ltd.,First Lien,Construction & Engineering,7.50%,,Euribor,7.00%,,2022-04-18,829,941,949,,,,,BCSF,2019-08-07
Regan Development Holdings Ltd.,First Lien,Construction & Engineering,7.50%,,Euribor,7.00%,,2022-04-18,7760,8330,8887,,,,,BCSF,2019-08-07
Home Franchise Concepts Inc.,Revolver,Other,,,,,2024-07-09,,,,,,,2530,,BCSF,2019-08-07
New Milani Group LLC,First Lien,Consumer Products,6.77%,,N/A,4.25%,,2024-06-06,17273,17114,17273,,,,,BCSF,2019-08-07
Stanton Carpet Corp.,Revolver,Other,,,,,2022-11-21,,,,,,,,,BCSF,2019-08-07
FineLine Technologies Inc.,Revolver,Consumer Products,6.79%,,N/A,4.25%,,2021-11-02,459,425,445,,,,,BCSF,2019-08-07
FineLine Technologies Inc.,First Lien,Consumer Products,7.06%,,N/A,4.25%,,2022-11-02,31703,31466,31545,,,,,BCSF,2019-08-07
Kronos Acquisition Holdings Inc.,Other,Other,,,,9.00%,,2023-08-15,10000,9356,7700,,,,,BCSF,2019-08-07
Kronos Acquisition Holdings Inc.,First Lien,Consumer Products,6.52%,,N/A,4.00%,,2023-05-15,13181,13142,12522,,,,,BCSF,2019-08-07
MND Holdings III Corp.,First Lien,Consumer Products,6.30%,,N/A,3.50%,,2024-06-19,13767,13815,13560,,,,,BCSF,2019-08-07
Solaray LLC,Revolver,Consumer Products,7.69%,,N/A,4.50%,,2022-09-09,5667,5605,5667,,,,,BCSF,2019-08-07
BWAY Holding Company,Other,Other,,,,7.25%,,2025-04-15,10000,9755,9012,,,,,BCSF,2019-08-07
BWAY Holding Company,First Lien,Packaging,5.66%,,N/A,3.25%,,2024-04-03,12812,12836,12100,,,,,BCSF,2019-08-07
Technimark LLC,First Lien,Packaging,6.27%,,N/A,3.75%,,2025-08-08,2826,2823,2784,,,,,BCSF,2019-08-07
Alliant Holdings Intermediate LLC,First Lien,Insurance,6.50%,,N/A,2.75%,,2025-05-09,16598,16650,15735,1.6,,,,BCSF,2019-08-07
Margaux Acquisition Inc.,Revolver,Insurance,10.50%,,N/A,5.00%,,2024-12-19,616,558,558,0.1,,,,BCSF,2019-08-07
Margaux UK Finance Ltd.,Revolver,Insurance,,,,,,2024-12-19,,,,,,,,BCSF,2019-08-07
Wink Holdco Inc.,Second Lien,Insurance,9.28%,,N/A,6.75%,,2025-12-01,13638,13578,12887,1.3,,,,BCSF,2019-08-07
Wink Holdco Inc.,First Lien,Insurance,5.52%,,N/A,3.00%,,2024-12-02,12568,12514,11939,1.2,,,,BCSF,2019-08-07
