company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Vivid Seats Ltd.,Common Equity,Media & Entertainment,,,,,,,608108,608108,,,,,,CCAP,2018-05-11
Vivid Seats Ltd.,Preferred Equity,Media & Entertainment,,,,,,,1891892,1891892,,,,,,CCAP,2018-05-11
SMS Systems Maintenance Services Inc.,Common Equity,Software,,,,,,,1142789,1144520,,,,,,CCAP,2018-05-11
Onvoy LLC,Common Equity,Technology Hardware,,,,,,,3649,364948,364948,,,,,CCAP,2018-05-11
Onvoy LLC,Common Equity,Technology Hardware,,,,,,,2536,2536,,,,,,CCAP,2018-05-11
Parkeon Inc.,First Lien,Technology Hardware,,,,E,,2023-04-01,1994499,2077714,,,,,,CCAP,2018-05-11
CB-SDG Ltd.,First Lien,Software,7.52%,0.5,N/A,6.50,2022-07-01,,3011952,,,,,,,CCAP,2018-05-11
CB-SDG Ltd.,First Lien,Software,7.52%,0.5,N/A,6.50,2022-07-01,,973879,,,,,,,CCAP,2018-05-11
CVS Health Corp.,Common Equity,Healthcare Services,,,,,,,,,1000000,1000000,1000000,5.0,,CCAP,2018-05-11
CVS Health Corp.,Common Equity,Healthcare Services,,,,,,,2,,,,,,,CCAP,2018-05-11
CVS Health,,Other,,,,,,,,,,,,,,CCAP,2018-05-11
CVS Health,Common Equity,Healthcare Services,,,,,,,,,,,,,,CCAP,2018-05-11
CVS Health,Common Equity,Healthcare Services,,,,,,,2,,,,,,,CCAP,2018-05-11
