company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment
American Community Homes Inc,Senior Secured Loan,FIRE: Real Estate,,4.46%,SF,0.11,2014-07-22,2026-12-31,13555,,,13555,,,
American Community Homes Inc,Senior Secured Loan,FIRE: Real Estate,,4.46%,SF,0.11,2014-07-22,2026-12-31,6669,,,6669,,,
American Community Homes Inc,Senior Secured Loan,FIRE: Real Estate,,4.46%,SF,0.11,2017-05-24,2026-12-31,822,,,822,,,
American Community Homes Inc,Senior Secured Loan,FIRE: Real Estate,,4.46%,SF,0.11,2018-08-10,2026-12-31,3021,,,3022,,,
American Community Homes Inc,Senior Secured Loan,FIRE: Real Estate,,4.46%,SF,0.11,2019-03-29,2026-12-31,5593,,,5593,,,
American Community Homes Inc,Senior Secured Loan,FIRE: Real Estate,,4.46%,SF,0.11,2019-09-30,2026-12-31,26,,,25,,,
American Community Homes Inc,Senior Secured Loan,FIRE: Real Estate,,4.46%,SF,0.11,2019-12-30,2026-12-31,128,,,128,,,
American Community Homes Inc (Revolver),Revolver,FIRE: Real Estate,,4.46%,SF,0.11,2020-03-30,2026-12-31,2500,,,13555,,,
HFZ Capital Group LLC,Senior Secured Loan,FIRE Real Estate,16.71%,,P,9.46%,2017-10-20,n/a,13242,13242,13242,,,,
HFZ Capital Group LLC,Senior Secured Loan,FIRE Real Estate,16.71%,,P,9.46%,2017-10-20,n/a,4758,4758,4758,,,,
MC Asset Management (Corporate) LLC,Senior Secured Loan,FIRE: Real Estate,,19.59%,SF,15.00,2021-01-26,2029-01-26,12517,,,12517,,,
MC Asset Management (Corporate) LLC,Senior Secured Loan,FIRE: Real Estate,,19.59%,SF,15.00,2021-04-26,2029-01-26,3731,,,3731,,,
Mnine Holdings Inc,Senior Secured Loan,High Tech Industries,7.58%,5.00%,SF,8.26,2018-11-02,2025-12-31,6592,,,6592,,,
Mnine Holdings Inc,Senior Secured Loan,High Tech Industries,7.85%,5.00%,SF,8.26,2023-07-27,2025-12-31,58,,,58,,,
Mnine Holdings Inc (Revolver),Revolver,High Tech Industries,11.32%,,SF,7.00,2022-08-09,2025-12-31,747,,,133,,,
SFR Holdco LLC,Junior Secured Loan,FIRE Real Estate,8.00%,,n/a,n/a,2021-08-06,2028-08-11,5850,5850,5858,,,,
SFR Holdco 2 LLC,Junior Secured Loan,FIRE Real Estate,8.00%,,n/a,n/a,2024-10-24,2029-10-23,2925,2110,2083,,,,
Independence Buyer Inc,Senior Secured Loan,Consumer Goods: Durable,10.20%,2.00%,SF,7.90,2021-08-03,2027-01-31,5345,,,5323,,,
Independence Buyer Inc (Revolver),Revolver,Consumer Goods: Durable,10.07%,2.00%,SF,7.85,2021-08-03,2027-01-31,711,,,374,,,
Recycled Plastics Industries LLC,Senior Secured Loan,Consumer Goods: Durable,11.13%,,SF,6.85,2021-08-04,2026-08-04,2656,,,2645,,,
Recycled Plastics Industries LLC (Revolver),Revolver,Consumer Goods: Durable,11.13%,,SF,6.85,2021-08-04,2026-08-04,284,,,284,,,
The Kyjen Company LLC,Senior Secured Loan,Consumer Goods: Non-Durable,10.61%,1.00%,SF,7.75,2021-05-14,2026-04-03,992,,,990,,,
The Kyjen Company LLC,Senior Secured Loan,Consumer Goods: Non-Durable,10.36%,1.00%,SF,7.50,2022-09-13,2026-04-03,2,,,2,,,
The Kyjen Company LLC (Revolver),Revolver,Consumer Goods: Non-Durable,10.51%,1.00%,SF,7.65,2021-05-14,2026-04-03,105,,,105,,,
Thrasio LLC,Senior Secured Loan,Consumer Goods: Non-Durable,,14.58%,SF,10.26,2024-07-18,2029-06-18,287,,,287,,,
GC Champion Acquisition LLC,Senior Secured Loan,FIRE: Finance,9.22%,,SF,5.00,2022-08-19,2028-08-18,3891,,,3864,,,
GC Champion Acquisition LLC,Senior Secured Loan,FIRE: Finance,9.22%,,SF,5.00,2022-08-19,2028-08-18,690,,,690,,,
GC Champion Acquisition LLC,Senior Secured Loan,FIRE: Finance,9.22%,,SF,5.00,2023-08-01,2028-08-18,2070,,,2031,,,
GC Champion Acquisition LLC (Delayed Draw),Delayed Draw Loan,FIRE: Finance,9.22%,,SF,5.00,2024-12-31,2028-08-18,669,,,,,,
J2 BWA Funding LLC (Revolver),Revolver,FIRE: Finance,10.00%,,n/a,n/a,2020-12-24,2026-12-24,1686,,,1651,,,
Liftforward SPV II LLC,Senior Secured Loan,FIRE: Finance,,15.03%,SF,10.86,2016-11-10,2026-03-31,338,,,338,,,
Bluesight Inc,Senior Secured Loan,Healthcare & Pharmaceuticals,9.50%,,SF,5.50,2023-07-17,2029-07-17,2000,,,1957,,,
Bluesight Inc,Senior Secured Loan,Healthcare & Pharmaceuticals,9.50%,,SF,5.50,2024-10-15,2029-07-17,261,,,258,,,
Bluesight Inc,Senior Secured Loan,Healthcare & Pharmaceuticals,9.50%,,SF,5.50,2024-12-31,2029-07-17,1739,,,1717,,,
Bluesight Inc (Revolver),Revolver,Healthcare & Pharmaceuticals,9.50%,,SF,5.50,2023-07-17,2029-07-17,348,,,,,,
Dorado Acquisition Inc,Senior Secured Loan,Healthcare & Pharmaceuticals,10.88%,,SF,6.60,2021-06-30,2026-06-30,4717,,,4699,,,
