company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
ALLIANCE SPORTS GROUP LP,co_a9d4555bc395,Subordinated Debt,Consumer Products,,14.00%,N/A,,2017-08-01,2023-02-01,11134,11043,10989,,110,,,CSWC,2021-11-02
ITA HOLDINGS GROUP LLC,co_cc383ed9f1b7,First Lien,Transportation & Logistics,8.00%,,LIBOR (Q),7.00%,2018-02-14,2023-02-14,10071,10022,10041,,10022,,,CSWC,2021-11-02
ITA HOLDINGS GROUP LLC,co_cc383ed9f1b7,First Lien,Transportation & Logistics,11.00%,,LIBOR (Q),10.00%,2018-06-05,2023-02-14,5036,4997,5060,,4997,,,CSWC,2021-11-02
ITA HOLDINGS GROUP LLC,co_cc383ed9f1b7,First Lien,Transportation & Logistics,,10.00%,N/A,,2019-03-29,2023-02-14,2812,2482,2812,,2482,,,CSWC,2021-11-02
ITA HOLDINGS GROUP LLC,co_cc383ed9f1b7,First Lien,Transportation & Logistics,,10.00%,N/A,,2019-03-29,2023-02-14,111,111,111,,111,,,CSWC,2021-11-02
ITA HOLDINGS GROUP LLC,co_cc383ed9f1b7,First Lien,Transportation & Logistics,8.00%,,LIBOR (Q),7.00%,2018-02-14,2023-02-14,10071,9996,10061,,9996,,,CSWC,2021-11-02
ITA HOLDINGS GROUP LLC,co_cc383ed9f1b7,First Lien,Transportation & Logistics,11.00%,,LIBOR (Q),10.00%,2018-06-05,2023-02-14,5036,4984,5101,,4984,,,CSWC,2021-11-02
ITA HOLDINGS GROUP LLC,co_cc383ed9f1b7,First Lien,Transportation & Logistics,,10.00%,N/A,,2019-03-29,2023-02-14,2678,2282,2630,,2282,,,CSWC,2021-11-02
ITA HOLDINGS GROUP LLC,co_cc383ed9f1b7,First Lien,Transportation & Logistics,,10.00%,N/A,,2019-03-29,2023-02-14,106,106,103,,106,,,CSWC,2021-11-02
ITA HOLDINGS GROUP LLC,co_cc383ed9f1b7,Warrants,Transportation & Logistics,,,N/A,,2019-03-29,,,538,3604,,538,,,CSWC,2021-11-02
ITA HOLDINGS GROUP LLC,co_cc383ed9f1b7,Preferred Equity,Transportation & Logistics,,,N/A,,2018-02-14,,,1500,3476,,1500,,,CSWC,2021-11-02
SIMR LLC,co_45668157cc3b,First Lien,Healthcare Services,,19.00%,LIBOR (M),17.00%,2018-09-07,2023-09-07,13796,13662,11520,,13662,,,CSWC,2021-11-02
SIMR LLC,co_45668157cc3b,First Lien,,,,,,,13796,,11520,,,,,,CSWC,2021-11-02
SIMR LLC,co_45668157cc3b,Common Equity,Healthcare Services,,,N/A,,2018-09-07,,,6107,,,6107,,,CSWC,2021-11-02
SONOBI INC,co_c9d0753251d9,First Lien,Media & Entertainment,9.00%,,LIBOR (Q),8.00%,2020-09-17,2025-09-16,8500,83,,,,,,CSWC,2021-11-02
Sonobi Inc,co_c9d0753251d9,First Lien,,,,,,,8500,,8500,,,,,,CSWC,2021-11-02
Delphi Intermediate Healthco LLC,co_584a364ab97f,First Lien,Healthcare Services,,,,,,,1457,,1406,,,,,CSWC,2021-11-02
Delphi Intermediate Healthco LLC,co_584a364ab97f,First Lien,Healthcare Services,,,,,,,1648,,1500,,,,,CSWC,2021-11-02
Dynamic Communities LLC,co_297b2fa395b4,First Lien,Business Services,,,,,,,11501,,10362,,,,,CSWC,2021-11-02
Dynamic Communities LLC,co_297b2fa395b4,Subordinated Debt,Business Services,,,,,,,575,,575,,,,,CSWC,2021-11-02
GRAMMATECH INC,co_5191cfab8539,First Lien,Software,9.50%,,LIBOR (Q),7.50%,2019-11-01,2024-11-01,11500,11346,11420,,11346,,,CSWC,2021-11-02
GRAMMATECH INC,co_5191cfab8539,Common Equity,Software,,,N/A,,2019-11-01,,,1000,1208,,1000,,,CSWC,2021-11-02
ITA HOLDINGS GROUP LLC,co_cc383ed9f1b7,Common Equity,Transportation & Logistics,,,N/A,,2018-02-14,,,1500,2532,,1500,,,CSWC,2021-11-02
Isagenix International LLC,co_a70583a53eb9,First Lien,Consumer Products,,,LIBOR,5.75%,,2025-06-14,1823,1812,1376,,1812,,,CSWC,2021-11-02
Isagenix International LLC,co_a70583a53eb9,First Lien,Consumer Products,,,LIBOR,5.75%,,2025-06-14,1754,1745,1469,,1745,,,CSWC,2021-11-02
KORE Wireless Group Inc,co_581d8038a4c8,First Lien,Telecommunications,,,LIBOR,5.50%,,2024-12-20,4706,4680,4700,,4680,,,CSWC,2021-11-02
