company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Nexii Inc,co_cdddf27702df,Preferred Equity,Environmental Services,,,N/A,N/A,,,3419,7909,,,,,,HRZN,2025-10-28
MicroTransponder Inc,co_cde172403562,First Lien,Medical Devices & Equipment,12.25%,,Prime,3.75%,,2029-01-01,3750,3707,3707,,,,,HRZN,2025-10-28
Havenly,co_4f5a4921c306,First Lien,Consumer Products,12.25%,,Prime,5.00%,,2027-03-01,1333,1145,1145,0.104,,,,HRZN,2025-10-28
Havenly,co_4f5a4921c306,First Lien,Consumer Products,12.25%,,Prime,5.00%,,2027-03-01,2000,1753,1753,0.104,,,,HRZN,2025-10-28
Havenly,co_4f5a4921c306,First Lien,Consumer Products,10.75%,,Prime,3.50%,,2028-02-01,3375,1915,3375,0.0778,,,,HRZN,2025-10-28
Havenly,co_4f5a4921c306,First Lien,Consumer Products,10.75%,,Prime,3.50%,,2028-02-01,2813,2813,2813,0.0778,,,,HRZN,2025-10-28
Lyrical Foods,co_f83ce3accc0f,First Lien,Consumer Products,10.75%,,Prime,3.50%,,2028-07-01,2679,2770,2383,0.05,,,,HRZN,2025-10-28
Lyrical Foods,co_f83ce3accc0f,First Lien,Consumer Products,10.75%,,Prime,3.50%,,2028-07-01,2679,1286,2304,0.05,,,,HRZN,2025-10-28
NextCar Holding Company,co_13e5e680953d,First Lien,Consumer Products,13.25%,,Prime,5.75%,,2023-10-31,6441,5187,879,0.0525,,,,HRZN,2025-10-28
NextCar Holding Company,co_13e5e680953d,First Lien,Consumer Products,13.25%,,Prime,5.75%,,2023-10-31,2576,2075,352,0.0525,,,,HRZN,2025-10-28
NextCar Holding Company,co_13e5e680953d,First Lien,Consumer Products,13.25%,,Prime,5.75%,,2023-10-31,3220,2594,439,0.0525,,,,HRZN,2025-10-28
KSQ Therapeutics Inc,co_6a6fbbada2fa,First Lien,Pharmaceuticals & Biotechnology,11.00%,,Prime,3.75%,,2030-04-01,4500,4485,4485,0.05,,,,HRZN,2025-10-28
Vero Biotech Inc,co_ff132af02ffa,First Lien,Medical Devices & Equipment,12.25%,,Prime,3.75%,,2029-01-01,15000,14735,14735,0.04,,,,HRZN,2025-10-28
Vero Biotech Inc,co_ff132af02ffa,First Lien,Medical Devices & Equipment,12.25%,,Prime,3.75%,,2029-01-01,10000,9823,9823,0.04,,,,HRZN,2025-10-28
Vero Biotech Inc,co_ff132af02ffa,First Lien,Medical Devices & Equipment,12.25%,,Prime,3.75%,,2029-01-01,5000,4912,4912,0.04,,,,HRZN,2025-10-28
Vero Biotech Inc,co_ff132af02ffa,First Lien,Medical Devices & Equipment,12.25%,,Prime,3.75%,,2029-01-01,2500,2456,2456,0.04,,,,HRZN,2025-10-28
Vero Biotech Inc,co_ff132af02ffa,First Lien,Medical Devices & Equipment,12.25%,,Prime,3.75%,,2029-01-01,15000,14785,14785,,,,,HRZN,2025-10-28
Vero Biotech Inc,co_ff132af02ffa,First Lien,Medical Devices & Equipment,12.25%,,Prime,3.75%,,2029-01-01,10000,9857,9857,,,,,HRZN,2025-10-28
Vero Biotech Inc,co_ff132af02ffa,First Lien,Medical Devices & Equipment,12.25%,,Prime,3.75%,,2029-01-01,5000,4927,4927,,,,,HRZN,2025-10-28
Vero Biotech Inc,co_ff132af02ffa,First Lien,Medical Devices & Equipment,12.25%,,Prime,3.75%,,2029-01-01,2500,2463,2463,,,,,HRZN,2025-10-28
Pivot Bio Inc,co_f89e180060da,First Lien,Environmental Services,12.00%,,Prime,4.00%,,2029-02-01,5000,4742,4742,0.04,,,,HRZN,2025-10-28
