company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
"DialPad, Inc.",Other Equity,Software & Technology,,,,,,,2020-09-22,,120,158,,120,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Envoy, Inc.",Other Equity,Software & Technology,,,,,,,2021-12-30,,667,667,,667,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"FlashParking, Inc.",Other Equity,Software & Technology,,,,,,,2022-07-19,,455,453,,455,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Filevine, Inc.",Other Equity,Software & Technology,,,,,,,2022-02-04,,357,358,,357,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Farmer's Business Network, Inc.",Other Equity,Software & Technology,,,,,,,2020-07-31,,167,264,,167,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Passport Labs, Inc.",Other Equity,Software & Technology,,,,,,,2019-06-11,,100,103,,100,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Uniphore Technologies Inc.,Other Equity,Software & Technology,,,,,,,2022-01-28,,350,287,,350,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Forum Brands Holdings, Inc.",Other Equity,Software & Technology,,,,,,,2021-07-16,,150,75,,150,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
MXP Prime GmbH,Other Equity,Business Services,,,,,,,2022-02-03,,1140,7,,1140,,,,,fair_value_suspicious_vs_size,TPVG,2023-08-02,TPVG,2023-08-02
"Printify, Inc.",Other Equity,Other,,,,,,,2021-08-24,,50,50,,50,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Activehours, Inc.",Other Equity,Financial Services,,,,,,,2020-11-10,,150,199,,150,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Hims & Hers Health, Inc.",Other Equity,Consumer & Retail,,,,,,,2019-04-29,,500,742,,500,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
